43.6182410116, 1.39722258833;{"type": "Point", "coordinates": [1.397222588325622, 43.6182410116223]};bus;46;Arènes / Pelletier Purpan;Ancely
43.6182410116, 1.39722258833;{"type": "Point", "coordinates": [1.397222588325622, 43.6182410116223]};bus;66;St Cyprien - République / Pelletier Purpan;Ancely
43.6182410116, 1.39722258833;{"type": "Point", "coordinates": [1.397222588325622, 43.6182410116223]};bus;66;St Cyprien - République / Pelletier Purpan;Ancely
43.6065063195, 1.4143522352;{"type": "Point", "coordinates": [1.414352235203042, 43.606506319526204]};bus;66;St Cyprien - République / Pelletier Purpan;Capoul
43.6276652111, 1.49125901447;{"type": "Point", "coordinates": [1.49125901446631, 43.62766521105061]};bus;74;Balma - Gramont / Rouffiac-Tolosan;Banque Populaire
43.6276652111, 1.49125901447;{"type": "Point", "coordinates": [1.49125901446631, 43.62766521105061]};bus;74;Balma - Gramont / Rouffiac-Tolosan;Banque Populaire
43.6283861212, 1.48223740888;{"type": "Point", "coordinates": [1.48223740887513, 43.628386121191845]};bus;77;Balma - Gramont / Fonsegrives Collège;Balma-Gramont
43.6283861212, 1.48223740888;{"type": "Point", "coordinates": [1.48223740887513, 43.628386121191845]};bus;20;Balma - Gramont / Beaupuy Mairie;Balma-Gramont
43.6283861212, 1.48223740888;{"type": "Point", "coordinates": [1.48223740887513, 43.628386121191845]};bus;77;Balma - Gramont / Fonsegrives Collège;Balma-Gramont
43.6283861212, 1.48223740888;{"type": "Point", "coordinates": [1.48223740887513, 43.628386121191845]};bus;74;Balma - Gramont / Rouffiac-Tolosan;Balma-Gramont
43.5984366054, 1.44562778036;{"type": "Point", "coordinates": [1.445627780359514, 43.598436605371134]};bus;VILLE;Navette Centre Ville;Carmes
43.6581924407, 1.47644397942;{"type": "Point", "coordinates": [1.476443979418787, 43.65819244074928]};bus;73;Borderouge / St-Jean Lestang;Myosotis
43.6581924407, 1.47644397942;{"type": "Point", "coordinates": [1.476443979418787, 43.65819244074928]};bus;43;Argoulets / St Jean François Mitterrand;Myosotis
43.6581924407, 1.47644397942;{"type": "Point", "coordinates": [1.476443979418787, 43.65819244074928]};bus;43;Argoulets / St Jean François Mitterrand;Myosotis
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;39;Jeanne d'Arc / L'Union Somport;Bayonne
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;76;Argoulets / Lapeyrouse;Bayonne
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;43;Argoulets / St Jean François Mitterrand;Bayonne
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;43;Argoulets / St Jean François Mitterrand;Bayonne
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;43;Argoulets / St Jean François Mitterrand;Bayonne
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;76;Argoulets / Lapeyrouse;Bayonne
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;33;Argoulets / Bruguières Mairie;Bayonne
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;75;Argoulets / Castelmaurou Mairie;Bayonne
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;33;Argoulets / Bruguières Mairie;Bayonne
43.6496158043, 1.47161358506;{"type": "Point", "coordinates": [1.47161358505877, 43.649615804287436]};bus;73;Borderouge / St-Jean Lestang;Bayonne
43.6532029784, 1.47092540752;{"type": "Point", "coordinates": [1.470925407515371, 43.65320297837489]};bus;73;Borderouge / St-Jean Lestang;Lilas
43.6532029784, 1.47092540752;{"type": "Point", "coordinates": [1.470925407515371, 43.65320297837489]};bus;33;Argoulets / Bruguières Mairie;Lilas
43.6532029784, 1.47092540752;{"type": "Point", "coordinates": [1.470925407515371, 43.65320297837489]};bus;43;Argoulets / St Jean François Mitterrand;Lilas
43.655970032, 1.47097008146;{"type": "Point", "coordinates": [1.470970081461411, 43.65597003198845]};bus;73;Borderouge / St-Jean Lestang;Mimosas
43.655970032, 1.47097008146;{"type": "Point", "coordinates": [1.470970081461411, 43.65597003198845]};bus;73;Borderouge / St-Jean Lestang;Mimosas
43.655970032, 1.47097008146;{"type": "Point", "coordinates": [1.470970081461411, 43.65597003198845]};bus;43;Argoulets / St Jean François Mitterrand;Mimosas
43.655970032, 1.47097008146;{"type": "Point", "coordinates": [1.470970081461411, 43.65597003198845]};bus;43;Argoulets / St Jean François Mitterrand;Mimosas
43.6567323897, 1.47310908534;{"type": "Point", "coordinates": [1.473109085338665, 43.65673238965212]};bus;43;Argoulets / St Jean François Mitterrand;Roses
43.6567323897, 1.47310908534;{"type": "Point", "coordinates": [1.473109085338665, 43.65673238965212]};bus;43;Argoulets / St Jean François Mitterrand;Roses
43.6582676419, 1.47734049805;{"type": "Point", "coordinates": [1.477340498050209, 43.65826764191413]};bus;40;Borderouge / L'Union Malbou;Hortensias
43.6582676419, 1.47734049805;{"type": "Point", "coordinates": [1.477340498050209, 43.65826764191413]};bus;43;Argoulets / St Jean François Mitterrand;Hortensias
43.6582676419, 1.47734049805;{"type": "Point", "coordinates": [1.477340498050209, 43.65826764191413]};bus;43;Argoulets / St Jean François Mitterrand;Hortensias
43.6582676419, 1.47734049805;{"type": "Point", "coordinates": [1.477340498050209, 43.65826764191413]};bus;40;Borderouge / L'Union Malbou;Hortensias
43.6568471728, 1.47956324049;{"type": "Point", "coordinates": [1.479563240494452, 43.65684717276279]};bus;75;Argoulets / Castelmaurou Mairie;Ctre Cial L'Union
43.6568471728, 1.47956324049;{"type": "Point", "coordinates": [1.479563240494452, 43.65684717276279]};bus;75;Argoulets / Castelmaurou Mairie;Ctre Cial L'Union
43.6568471728, 1.47956324049;{"type": "Point", "coordinates": [1.479563240494452, 43.65684717276279]};bus;43;Argoulets / St Jean François Mitterrand;Ctre Cial L'Union
43.6568471728, 1.47956324049;{"type": "Point", "coordinates": [1.479563240494452, 43.65684717276279]};bus;73;Borderouge / St-Jean Lestang;Ctre Cial L'Union
43.6568471728, 1.47956324049;{"type": "Point", "coordinates": [1.479563240494452, 43.65684717276279]};bus;73;Borderouge / St-Jean Lestang;Ctre Cial L'Union
43.6568471728, 1.47956324049;{"type": "Point", "coordinates": [1.479563240494452, 43.65684717276279]};bus;40;Borderouge / L'Union Malbou;Ctre Cial L'Union
43.6568471728, 1.47956324049;{"type": "Point", "coordinates": [1.479563240494452, 43.65684717276279]};bus;43;Argoulets / St Jean François Mitterrand;Ctre Cial L'Union
43.6551646483, 1.48217483778;{"type": "Point", "coordinates": [1.482174837778822, 43.65516464828928]};bus;75;Argoulets / Castelmaurou Mairie;L'Union Somport
43.6551646483, 1.48217483778;{"type": "Point", "coordinates": [1.482174837778822, 43.65516464828928]};bus;75;Argoulets / Castelmaurou Mairie;L'Union Somport
43.6551646483, 1.48217483778;{"type": "Point", "coordinates": [1.482174837778822, 43.65516464828928]};bus;39;Jeanne d'Arc / L'Union Somport;L'Union Somport
43.6551646483, 1.48217483778;{"type": "Point", "coordinates": [1.482174837778822, 43.65516464828928]};bus;39;Jeanne d'Arc / L'Union Somport;L'Union Somport
43.6551646483, 1.48217483778;{"type": "Point", "coordinates": [1.482174837778822, 43.65516464828928]};bus;40;Borderouge / L'Union Malbou;L'Union Somport
43.653379218, 1.48458290555;{"type": "Point", "coordinates": [1.484582905547396, 43.65337921801058]};bus;39;Jeanne d'Arc / L'Union Somport;Montcalm
43.653379218, 1.48458290555;{"type": "Point", "coordinates": [1.484582905547396, 43.65337921801058]};bus;75;Argoulets / Castelmaurou Mairie;Montcalm
43.653379218, 1.48458290555;{"type": "Point", "coordinates": [1.484582905547396, 43.65337921801058]};bus;75;Argoulets / Castelmaurou Mairie;Montcalm
43.653379218, 1.48458290555;{"type": "Point", "coordinates": [1.484582905547396, 43.65337921801058]};bus;40;Borderouge / L'Union Malbou;Montcalm
43.5997634066, 1.41556473736;{"type": "Point", "coordinates": [1.415564737357794, 43.599763406582355]};bus;45;Jeanne d'Arc / Pelletier Purpan;Turenne
43.5997634066, 1.41556473736;{"type": "Point", "coordinates": [1.415564737357794, 43.599763406582355]};bus;45;Jeanne d'Arc / Pelletier Purpan;Turenne
43.6522376361, 1.4835901567;{"type": "Point", "coordinates": [1.483590156698095, 43.65223763612545]};bus;75;Argoulets / Castelmaurou Mairie;Biarritz
43.6513716757, 1.47963334971;{"type": "Point", "coordinates": [1.479633349714156, 43.65137167570966]};bus;75;Argoulets / Castelmaurou Mairie;Ronceveaux
43.6513716757, 1.47963334971;{"type": "Point", "coordinates": [1.479633349714156, 43.65137167570966]};bus;75;Argoulets / Castelmaurou Mairie;Ronceveaux
43.6513716757, 1.47963334971;{"type": "Point", "coordinates": [1.479633349714156, 43.65137167570966]};bus;75;Argoulets / Castelmaurou Mairie;Ronceveaux
43.649995874, 1.47685859409;{"type": "Point", "coordinates": [1.476858594087038, 43.6499958739554]};bus;40;Borderouge / L'Union Malbou;Bidart
43.649995874, 1.47685859409;{"type": "Point", "coordinates": [1.476858594087038, 43.6499958739554]};bus;40;Borderouge / L'Union Malbou;Bidart
43.649995874, 1.47685859409;{"type": "Point", "coordinates": [1.476858594087038, 43.6499958739554]};bus;75;Argoulets / Castelmaurou Mairie;Bidart
43.6495380873, 1.47415403595;{"type": "Point", "coordinates": [1.474154035950923, 43.64953808733506]};bus;75;Argoulets / Castelmaurou Mairie;Val d'Aran
43.6495380873, 1.47415403595;{"type": "Point", "coordinates": [1.474154035950923, 43.64953808733506]};bus;75;Argoulets / Castelmaurou Mairie;Val d'Aran
43.6464519995, 1.47857123714;{"type": "Point", "coordinates": [1.478571237139873, 43.64645199953234]};bus;42;Jeanne d'Arc / St Jean Clinique de L'Union;La Franqui
43.6515660197, 1.4976356579;{"type": "Point", "coordinates": [1.497635657900305, 43.65156601973974]};bus;42;Jeanne d'Arc / St Jean Clinique de L'Union;Menton
43.64822118, 1.48093429769;{"type": "Point", "coordinates": [1.480934297688113, 43.64822117998685]};bus;42;Jeanne d'Arc / St Jean Clinique de L'Union;Orthez
43.6479402534, 1.48971565973;{"type": "Point", "coordinates": [1.489715659734753, 43.64794025343025]};bus;42;Jeanne d'Arc / St Jean Clinique de L'Union;Antibes
43.6536824855, 1.50125869014;{"type": "Point", "coordinates": [1.501258690140195, 43.65368248546013]};bus;42;Jeanne d'Arc / St Jean Clinique de L'Union;Bessayre
43.6537806267, 1.50700660318;{"type": "Point", "coordinates": [1.507006603175847, 43.65378062665919]};bus;42;Jeanne d'Arc / St Jean Clinique de L'Union;Renée Aspe
43.6540993311, 1.51053125348;{"type": "Point", "coordinates": [1.510531253484494, 43.65409933105318]};bus;43;Argoulets / St Jean François Mitterrand;Flotis
43.6613802062, 1.51256866688;{"type": "Point", "coordinates": [1.512568666881654, 43.66138020621678]};bus;74;Balma - Gramont / Rouffiac-Tolosan;Stade
43.6616537597, 1.47604871814;{"type": "Point", "coordinates": [1.476048718135106, 43.661653759734094]};bus;40;Borderouge / L'Union Malbou;Côte de Cornaudric
43.6616537597, 1.47604871814;{"type": "Point", "coordinates": [1.476048718135106, 43.661653759734094]};bus;40;Borderouge / L'Union Malbou;Côte de Cornaudric
43.6638408421, 1.4737676391;{"type": "Point", "coordinates": [1.473767639103445, 43.66384084212534]};bus;40;Borderouge / L'Union Malbou;Tourterelles
43.6669603758, 1.47445479596;{"type": "Point", "coordinates": [1.474454795961812, 43.66696037581835]};bus;40;Borderouge / L'Union Malbou;Geai
43.6669603758, 1.47445479596;{"type": "Point", "coordinates": [1.474454795961812, 43.66696037581835]};bus;40;Borderouge / L'Union Malbou;Geai
43.6665017416, 1.47980129879;{"type": "Point", "coordinates": [1.479801298793327, 43.66650174161916]};bus;40;Borderouge / L'Union Malbou;Agout
